Ranking,Title,Author,Average Rating
1,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.26
2,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18
3,"Things We Hide from the Light (Knockemout, #2)",Lucy Score,4.07
4,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36
5,"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.46
6,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,4.61
7,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.62
8,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,4.27
9,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,4.69
10,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4.24
11,Bel Canto,Ann Patchett,3.93
12,Someone Else's Shoes,Jojo Moyes,3.97
13,Don't Let Her Stay,Nicola Sanders,3.96
14,"Powerless (Chestnut Springs, #3)",Elsie Silver,4.1
15,I Have Some Questions for You,Rebecca Makkai,3.61
16,"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,3.29
17,Never Never,Colleen Hoover,3.32
18,The House of Eve,Sadeqa Johnson,4.26
19,"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha Shannon,4.38
20,Big Swiss,Jen Beagin,3.68
21,"Twisted (Never After, #4)",Emily McIntire,3.9
22,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,4.29
23,Go as a River,Shelley Read,4.3
24,Stone Blind,Natalie Haynes,3.84
25,The Writing Retreat,Julia Bartz,3.43
26,Looking for Jane,Heather Marshall,4.37
27,Black Ties & White Lies (Black Tie Billionaires #1),Kat Singleton,3.75
28,The Last Tale of the Flower Bride,Roshani Chokshi,3.71
29,Murder Your Employer: The McMasters Guide to Homicide,Rupert Holmes,3.88
30,"These Infinite Threads (This Woven Kingdom, #2)",Tahereh Mafi,4.11
31,"Bonded by Thorns (Beasts of the Briar, #1)",Elizabeth Helen,3.99
32,"The Temporary Wife (The Windsors, #2)",Catharina Maura,4.05
33,"Radiant Sin (Dark Olympus, #4)",Katee Robert,3.8
