Ranking,Title,Author,Average Rating
34,Our Share of Night,Mariana Enríquez,4.3
35,"Saving 6 (Boys of Tommen, #3)",Chloe Walsh,4.51
36,It's One of Us,J.T. Ellison,3.83
37,"Immortality: A Love Story (The Anatomy Duology, #2)",Dana Schwartz,3.94
38,The Neighbor Favor,Kristina Forest,3.8
39,All My Knotted-Up Life: A Memoir,Beth Moore,4.48
40,"Blood & Steel (The Legends of Thezmarr, #1)",Helen Scheuerer,4.24
41,The Librarian of Burned Books,Brianna Labuskes,3.94
42,Rule Number Five (Rule Breaker #1),Jessa Wilder,3.82
43,Victory City,Salman Rushdie,3.81
44,Stone Cold Fox,Rachel Koller Croft,3.67
45,"Hail Mary (Red Zone Rivals, #4)",Kandi Steiner,4.04
46,For the Fans,Nyla K.,4.36
47,"Don't Fear the Reaper (The Indian Lake Trilogy, #2)",Stephen Graham Jones,4.07
48,Daisy Jones & the Six,Taylor Jenkins Reid,4.21
49,Just My Type,Falon Ballard,3.68
50,She Is a Haunting,Trang Thanh Tran,3.4
51,Sick Boys,Clarissa Wild,3.97
52,My Last Innocent Year,Daisy Alpert Florin,3.76
53,VenCo,Cherie Dimaline,3.79
54,"That Kind of Guy (Queen's Cove, #1)",Stephanie Archer,3.78
55,This Time It's Real,Ann Liang,4.03
56,"God of Pain (Legacy of Gods, #2)",Rina Kent,3.93
57,Strong Female Character,Fern Brady,4.5
58,The Chemistry of Love,Sariah Wilson,3.95
59,Brutes,Dizz Tate,3.2
60,"A Kiss of Iron (Shadows of the Tenebris Court, #1)",Clare Sager,4.04
61,"Mile High (Windy City, #1)",Liz Tomforde,4.12
62,Code Name Sapphire,Pam Jenoff,3.87
63,"The Wrong Mr. Right (Queen's Cove, #2)",Stephanie Archer,4.01
64,Hijab Butch Blues,Lamya H.,4.48
65,The Angel Maker,Alex North,3.45
66,Bad Mormon: A Memoir,Heather Gay,3.51
67,The Witch of Tin Mountain,Paulette Kennedy,4.06
68,Delicious Monsters,Liselle Sambury,4.07
69,"Ambrosia (Frost and Nectar, #2)",C.N. Crawford,3.82
70,The Island,Natasha Preston,3.47
71,Night Angels,Weina Dai Randel,4.23
72,On the Savage Side,Tiffany McDaniel,4.05
73,"Next of Kin (Next, #1)",Hannah Bonam-Young,3.82
74,"Encore in Death (In Death, #56)",J.D. Robb,4.41
75,Someone Else’s Life,Lyn Liao Butler,3.45
76,The Direction of the Wind,Mansi Shah,4.09
77,A Mystery of Mysteries: The Death and Life of Edgar Allan Poe,Mark Dawidziak,3.61
78,"Last Violent Call (Secret Shanghai, #3.5)",Chloe Gong,4.26
79,Enchantment: Awakening Wonder in an Anxious Age,Katherine May,3.63
80,"Storm Watch (Joe Pickett, #23)",C.J. Box,4.2
81,"For Her Consideration (Out in Hollywood, #1)",Amy Spalding,3.77
82,The Spite House,Johnny Compton,3.53
83,The Crane Husband,Kelly Barnhill,3.89
84,"The Right Move (Windy City, #2)",Liz Tomforde,4.43
85,The Magician’s Daughter,H.G. Parry,4
86,"Seven Faceless Saints (Seven Faceless Saints, #1)",M.K. Lobb,3.5
87,"Psycho Academy (Cruel Shifterverse, #4)",Jasmine Mas,4.27
88,Black Candle Women,Diane Marie Brown,3.41
89,"In Your Dreams, Holden Rhodes (Queen's Cove, #3)",Stephanie Archer,3.95
90,"Icebreaker (Maple Hills, #1)",Hannah Grace,3.88
91,"Court of Shadows (Institute of the Shadow Fae, #1)",C.N. Crawford,4.07
92,"Reflected in You (Crossfire, #2)",Sylvia Day,4.3
93,The Alchemy Fire Murder: a Mary Wandwalker Mystery,Susan Rowland,4.3
94,"When She Tempts (The Fallen, #2)",Gabrielle Sands,4.07
95,"Wicked Heir (Chernov Bratva, #1)",Mila Kane,3.75
96,The Shadow of Perseus,Claire Heywood,3.66
97,"Next to You (Next, #2)",Hannah Bonam-Young,4.1
98,Your Driver Is Waiting,Priya Guns,3.29
99,The Little Wartime Library,Kate Thompson,4.26
100,The Secrets of Hartwood Hall,Katie Lumsden,3.68
101,"Unfurl (Alchemy, #1)",Elodie Hart,3.82
102,The School for Good Mothers,Jessamine Chan,3.54
103,The Confidante: The Untold Story of the Woman Who Helped Win WWII and Shape Modern America,Christopher C. Gorham,4.33
104,Scorched Grace,Margot Douaihy,3.21
105,"Sister, Maiden, Monster",Lucy A. Snyder,3.58
106,"The Curse of Ophelia (The Curse of Ophelia, #1)",Nicole Platania,3.62
107,Corrupt Vow (Filthy Wicked Psychos #3),Eva Ashwood,4.21
108,All the Beauty in the World: The Metropolitan Museum of Art and Me,Patrick Bringley,4.08
109,3 Days to Live,James Patterson,3.53
110,Dyscalculia: A Love Story of Epic Miscalculation,Camonghne Felix,3.84
111,"Flawless (Chestnut Springs, #1)",Elsie Silver,4.08
112,"Entwined with You (Crossfire, #3)",Sylvia Day,4.18
113,"Kiss and Don't Tell (The Vancouver Agitators, #1)",Meghan Quinn,4.04
114,Sink: A Memoir,Joseph Earl Thomas,3.69
115,"Not Your Ex's Hexes (Supernatural Singles, #2)",April Asher,3.84
116,Unnatural History (Alex Delaware #38),Jonathan Kellerman,4.09
117,"Meru (The Alloy Era, #1)",S.B. Divya,3.78
118,"Control Me (Corrupted Royals, #2)",Michelle Heard,4.1
119,Arch-Conspirator,Veronica Roth,3.43
120,The Porcelain Moon,Janie Chang,3.89
121,Before Us,Jewel E. Ann,4.36
122,The Last Orphan (Orphan X #8),Gregg Andrew Hurwitz,4.24
123,"A Soul to Touch (Duskwalker Brides, #3)",Opal Reyne,4.36
124,The Tragedy of Felix and Jake,J. Daniels,4.33
125,Don't Let Me Break,Kelsie Rae,4.27
126,"Nightbirds (Nightbirds, #1)",Kate J. Armstrong,3.75
127,"Bend Her (The Transformation Trilogy, #1)",Cassie Alexander,3.7
128,"Murder at an Irish Bakery (Irish Village Mystery, #9)",Carlene O'Connor,4
129,It Ends at Midnight,Harriet Tyce,3.48
130,"Wolfish: Wolf, Self, and the Stories We Tell About Fear",Erica Berry,3.53
131,"Those Three Little Words (The Vancouver Agitators, #2)",Meghan Quinn,4.08
132,"Captivated by You (Crossfire, #4)",Sylvia Day,4.12
133,"Dirty Truths (Boys of Bellerose, #2)",Jaymin Eve,4.3
134,The Devine Doughnut Shop,Carolyn Brown,4.24
135,A Spell of Good Things,Ayọ̀bámi Adébáyọ̀,3.79
136,The Book of Cold Cases,Simone St. James,3.79
137,No Home for Killers,E.A. Aymar,3.45
138,"The House Witch 3 (The House Witch, #3)",Delemhach,4.54
139,"Wild Ever After (Wildcat Hockey, #3)",Rebecca Jenshak,3.98
140,Best Served Hot,Amanda Elliot,3.33
141,The Queen of Dirt Island,Donal Ryan,4.1
142,"Queen of the Dome (QOTD, #1)",Amizah R,3.7
143,Always the Almost,Edward Underhill,4.08
144,Wildblood,Lauren Blackwood,3.42
145,Where Darkness Blooms,Andrea Hannah,3.48
146,The House Guest,Hank Phillippi Ryan,3.3
147,"The New Guy (Hockey Guys, #1)",Sarina Bowen,4.11
148,"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between",Bent Flyvbjerg,4.32
149,The Woman With the Cure,Lynn Cullen,3.95
150,End of Story,Kylie Scott,3.63
151,Sex Talks: The Five Conversations That Will Transform Your Love Life,Vanessa Marin,4.35
152,"Burner (Gray Man, #12)",Mark Greaney,4.58
153,What's Our Problem?: A Self-Help Book for Societies,Tim Urban,4.28
154,Stars in an Italian Sky,Jill Santopolo,3.9
155,"Murder at Haven's Rock (Haven's Rock, #1)",Kelley Armstrong,4.13
156,Drama Free: A Guide to Managing Unhealthy Family Relationships,Nedra Glover Tawwab,4.3
157,The Hotel Nantucket,Elin Hilderbrand,4.06
158,"Essex Dogs (Essex Dogs, #1)",Dan Jones,3.94
159,Something Wilder,Christina Lauren,3.67
160,"Zodiac Aligned (Zodiac Wolves, #4)",Elizabeth Briggs,4.24
161,"One Pucked Up Pack (Pucked Up Omegaverse, #1)",Sarah Blue,3.95
162,Child of Another Kind,Steven Decker,4.29
163,Unscripted: The Epic Battle for a Media Empire and the Redstone Family Legacy,James B. Stewart,3.76
164,It's OK to Be Angry About Capitalism,Bernie Sanders,4.09
165,"Kiss of Death (Tempting the Fates, #1)",Alice Wilde,3.79
166,Western Lane,Chetna Maroo,3.52
167,Don't Go Down There,Kiersten Modglin,3.91
168,"Sea Castle (Underwater Investigation Unit, #4)",Andrew Mayne,4.38
169,Too Wrong to Be Right,Melonie Johnson,3.38
170,Lying Beside You (Cyrus Haven #3),Michael Robotham,4.3
171,The Daughters of Madurai,Rajasree Variyar,4.11
172,"Take the Lead (Dance Off, #1)",Alexis Daria,3.78
173,The Polymorph,Max Nowaz,4.29
174,"The Last Kingdom (Cotton Malone, #17)",Steve Berry,4.11
175,The Theory of (Not Quite) Everything,Kara Gnodde,3.42
176,"Until You (The Redemption, #1)",K. Bromberg,4.18
177,Ruby Spencer's Whisky Year,Rochelle Bilow,3.43
178,"Oscar Wars: A History of Hollywood in Gold, Sweat, and Tears",Michael Schulman,4.09
179,Such Pretty Flowers,K.L. Cerra,3.35
180,One of Us Is Lying,Karen M. McManus,3.94
181,"My Phony Valentine (Holidays with Hart, #1)",Courtney Walsh,4.26
182,Time's Undoing,Cheryl A. Head,4.04
183,A Villain's Kiss,T.L. Smith,3.78
184,Toe the Line,Penelope Ward,4.03
185,"Cruel Deception (Kozlov Empire, #2)",Monica Kayne,3.73
186,Revelle,Lyssa Mia Smith,3.98
187,"Palo Alto: A History of California, Capitalism, and the World",Malcolm Harris,3.9
188,Cold People,Tom Rob Smith,3.52
189,"The Exceptions: Nancy Hopkins, MIT, and the Fight for Women in Science",Kate Zernike,4.44
190,The Magnificent Lives of Marjorie Post,Allison Pataki,4.15
191,The Watchmaker's Daughter: The True Story of World War II Heroine Corrie ten Boom,Larry Loftis,4.32
192,Couplets,Maggie Millner,3.78
193,The Grace of Wild Things,Heather Fawcett,4.13
194,The Headmaster's List,Melissa de la Cruz,3.49
195,Getting Even: Two Thrilling Novels of Suspense,Lisa Jackson,3.91
196,"The Bridge to Magic (The Sundered Web, #1)",Alex Thornbury,4.35
197,Black Fire,William Kely McClung,4.3
198,Feral: Losing Myself and Finding My Way in America’s National Parks,Emily Pennington,3.19
199,What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,4.52
200,"Den of Blades and Briars (The Broken Kingdoms, #7)",L.J. Andrews,4.43
