Ranking,Title,Author,Average Rating
69,What the Neighbors Saw,Melissa Adelman,3.36
70,Babymoon or Bust,Ava Hunter,3.79
71,Old Enough,Haley Jakobson,4.05
72,"A Crown of Ivy and Glass (The Middlemist Trilogy, #1)",Claire Legrand,3.13
73,The First Bright Thing,J.R. Dawson,3.62
74,"The Modern Girl's Guide to Magic (Charming Cove, #1)",Linsey Hall,3.79
75,"Sing Me to Sleep (Sing Me to Sleep, #1)",Gabi Burton,3.87
76,The Other Mistress,Shanora Williams,3.52
77,Secret Obsession,S. Massery,3.99
78,The Bookshop by the Bay,Pamela Kelley,4
79,"The Puck Secret (Fairfield U, #1)",G.N. Wright,4.03
80,A Perfect Vintage,Chelsea Fagan,3.51
81,Minx,Sophie Lark,3.74
82,Open Throat,Henry Hoke,4
83,Speak of the Devil,Rose Wilding,3.55
84,The Puzzle Master,Danielle Trussoni,3.33
85,The Happy Life of Isadora Bentley,Courtney Walsh,4.2
86,A Love Catastrophe,Helena Hunting,3.45
87,"The Surviving Sky (Rages, #1)",Kritika H. Rao,3.61
88,The Beach at Summerly,Beatriz Williams,3.9
89,"Royally In Trouble (Royal, #2)",Meghan Quinn,4.11
90,"A Killer’s Game (Daniela Vega, #1)",Isabella Maldonado,4.18
91,"House of Striking Oaths (The Kingdom of Crows, #3)",Olivia Wildenstein,4.01
92,Crow Mary,Kathleen Grissom,4.34
93,"Moments of Malevolence (The Hunters, #1)",T.L. Smith,3.6
94,A Little Ray of Sunshine,Kristan Higgins,4.15
95,The Girls of Summer,Katie Bishop,3.53
96,"Dark Magic (The Chronicles of the Underworld, #1)",Raluca Narita,3.83
97,"The Road of Bones (The Ashen, #1)",Demi Winters,4.26
98,The Mythmakers,Keziah Weir,3.34
99,Lay Your Body Down,Amy Suiter Clarke,3.6
100,Golden Hills,Jennifer Weiner,3.91
101,The Little Italian Hotel,Phaedra Patrick,3.59
102,The Endless Vessel,Charles Soule,3.79
103,Last Resort (Joe Dillard #10),Scott Pratt,4.61
104,The Rabbit Hutch,Tess Gunty,3.52
105,Stinger,Mia Sheridan,4.09
106,Sweet Regret,K. Bromberg,3.86
107,"Waybound (Cradle, #12)",Will Wight,4.64
108,"Coldhearted King (Empty Kingdom, #1)",L.M. Dalgleish,4.17
109,Fire Weather: A True Story from a Hotter World,John Vaillant,4.37
110,Loot,Tania James,3.83
111,The Wife App,Carolyn Mackler,3.58
112,August Blue,Deborah Levy,3.68
113,Night Will Find You,Julia Heaberlin,3.97
114,"The First Death (Columbia River, #4)",Kendra Elliot,4.53
115,The Couple Across the Street,Anita Waller,3.69
116,Welcome to Beach Town,Susan Wiggs,4.05
117,The Shallows,Holly Craig,3.8
118,"Cruel Summer (Seasons of Revenge, #2)",Morgan Elizabeth,3.88
119,"One Touch (The Sullivan Family, #2)",Lena Hendrix,4.11
120,I Am Homeless If This Is Not My Home,Lorrie Moore,3.34
121,The Light on Farallon Island,Jen Wheeler,3.89
122,Sunburn,Chloe Michelle Howarth,4.28
123,Anger Bang,Avery Flynn,3.73
124,Where Ivy Dares to Grow,Marielle Thompson,3.34
125,"Night's Edge (Night's Edge, #1)",Liz Kerin,3.93
126,Lucky Red,Claudia Cravens,3.94
127,Killingly,Katharine Beutner,3.41
128,"Scandalous Games (Arranged Games, #1)",Simran .,3.81
129,Court of Monsters and Malice (The Shadow Bound Queen #3),Eliza Raine,4.04
130,The Last Lifeboat,Hazel Gaynor,4.34
131,The Shadow Cabinet (Her Majesty's Royal Coven #2),Juno Dawson,4.27
132,The Long Way Back,Nicole Baart,3.72
133,My Daughter's Boyfriend (My Daughter's Boyfriend #1),Daniel Hurst,3.8
134,"A Thousand Recipes for Revenge (Chefs of the Five Gods, #1)",Beth Cato,3.89
135,The Road to Roswell,Connie Willis,3.74
136,"Tempting Little Thief (Girls of Greyson, #1)",Meagan Brandy,4.07
137,The Devil's Bargain (Deal with the Devil Book 1),Carin Hart,3.07
138,"Private Moscow (Private, #15)",James Patterson,4.25
139,My Friend Anne Frank: The Inspiring and Heartbreaking True Story of Best Friends Torn Apart and Reunited Against All Odds,Hannah Pick-Goslar,4.67
140,The Night It Ended,Katie Garner,3.36
141,Going Bicoastal,Dahlia Adler,3.87
142,Let Me In,Claire McGowan,4.11
143,Liars and Liaisons (Monsters & Muses #6),Sav R. Miller,4.17
144,The Memory of Animals,Claire Fuller,3.62
145,Upgrade,Blake Crouch,3.81
146,The Road Towards Home,Corinne Demas,3.97
147,"Shanghai Immortal (Shanghai Immortal, #1)",A.Y. Chao,3.4
148,"The Archive Undying (The Downworld Sequence, #1)",Emma Mieko Candon,3.29
149,Savage Hearts (Filthy Wicked Psychos #4),Eva Ashwood,4.25
150,Much Ado about Nada,Uzma Jalaluddin,3.87
151,Maddalena and the Dark,Julia Fine,3.39
152,Everything the Darkness Eats,Eric LaRocca,2.8
153,Holding Pattern,Jenny Xie,3.18
154,"The Last Sinner (New Orleans, #9)",Lisa Jackson,4.2
155,"Charlotte Illes Is Not a Detective (Not a Detective Mysteries, #1)",Katie Siegel,3.42
156,Hidden Pictures,Jason Rekulak,4.15
157,What Remains,Wendy Walker,3.59
158,Mrs. S,K. Patrick,3.67
159,"Wreck & Ruin (Tarnished Angels Motorcycle Club, #1)",Emma Slate,3.86
160,Cult Classic,Sloane Crosley,3.3
161,"Lovelight Farms (Lovelight, #1)",B.K. Borison,3.92
162,Ciao For Now,Kate Bromley,3.57
163,Okay Days,Jenny Mustard,3.79
164,Famous in a Small Town,Viola Shipman,3.93
165,You Were Always Mine,Christine Pride,3.91
166,100 Places to See After You Die: A Travel Guide to the Afterlife,Ken Jennings,3.29
167,"Garden of the Cursed (Garden of the Cursed, #1)",Katy Rose Pool,4.09
168,The Woman Inside,M.T. Edvardsson,3.56
169,You Look Beautiful Tonight,L.R. Jones,3.7
170,The Broken Protector,Nicole Snow,4.13
171,"The Missus (Mister & Missus, #2)",E.L. James,3.69
172,The Happiness Plan,Susan Mallery,3.92
173,Palazzo,Danielle Steel,4.19
174,"The Sweetheart List (Sunrise Cove, #4)",Jill Shalvis,4.16
175,"Morgan Is My Name (Morgan le Fay, #1)",Sophie Keetch,4.18
176,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,3.96
177,Don't Forget the Girl,Rebecca McKanna,3.76
178,Along for the Ride (Ride or Die Romances),Lauren Biel,3.82
179,The Camp,Nancy Bush,3.45
180,Where Echoes Die,Courtney Gould,3.6
181,The Favor,Adele Griffin,3.75
182,"Magic Claims (Kate Daniels: Wilmington Years, #2; Kate Daniels, #10.6)",Ilona Andrews,4.71
183,Broken Beauty (Titan Falls #1),Ketley Allison,4.06
184,Seven Exes,Lucy Vine,3.31
185,You Can Trust Me,Kiersten Modglin,3.89
186,Kismat Connection,Ananya Devarajan,3.44
187,"Alias Emma (Alias Emma, #1)",Ava Glass,3.79
188,A Quitter's Paradise,Elysha Chang,2.84
189,What the Dead Know: Learning About Life as a New York City Death Investigator,Barbara Butcher,4.14
190,Summer Rental,Rektok Ross,3.51
191,Diamond Devil (Zakharov Bratva #1),Naomi West,4.23
192,The Bodyguard,Katherine Center,3.98
193,The Family Remains,Lisa Jewell,3.89
194,The Best Summer of Our Lives,Rachel Hauck,3.91
195,"Possess Me (Corrupted Royals, #5)",Michelle Heard,4.3
196,Strictly for Now (The Salinger Brothers #3),Carrie Elks,3.86
197,Before She Finds Me,Heather Chavez,3.83
198,"Demons of Good and Evil (The Hollows, #17)",Kim Harrison,4.45
199,Tough Titties: On Living Your Best Life When You're the F-ing Worst,Laura Belgray,3.6
200,What an Owl Knows: The New Science of the World's Most Enigmatic Birds,Jennifer Ackerman,4.18
