Ranking,Title,Author,Average Rating
1,"Love, Theoretically",Ali Hazelwood,4.12
2,The Only One Left,Riley Sager,4.14
3,The Seven Year Slip,Ashley Poston,4.25
4,Too Late,Colleen Hoover,4.03
5,The Covenant of Water,Abraham Verghese,4.46
6,The Five-Star Weekend,Elin Hilderbrand,4.07
7,"Reckless (Chestnut Springs, #4)",Elsie Silver,4.39
8,Lady Tan’s Circle of Women,Lisa See,4.37
9,The Quiet Tenant,Clémence Michallon,3.87
10,Same Time Next Summer,Annabel Monaghan,3.78
11,The Lost Bookshop,Evie Woods,4.13
12,"Behind the Net (Vancouver Storm, #1)",Stephanie Archer,3.85
13,"Unfortunately Yours (A Vine Mess, #2)",Tessa Bailey,3.81
14,The Drowning Woman,Robyn Harding,4.08
15,"Done and Dusted (Rebel Blue Ranch, #1)",Lyla Sage,3.92
16,The Whispers,Ashley Audrain,3.84
17,The Rachel Incident,Caroline O'Donoghue,4.11
18,Zero Days,Ruth Ware,3.65
19,All the Sinners Bleed,S.A. Cosby,4.25
20,Pageboy,Elliot Page,3.76
21,The Paris Daughter,Kristin Harmel,4.26
22,The Wind Knows My Name,Isabel Allende,4.03
23,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,4.23
24,She Started It,Sian Gilbert,3.57
25,Will They or Won't They,Ava Wilder,3.61
26,Talking at Night,Claire Daverley,3.99
27,Banyan Moon,Thao Thai,3.93
28,"The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession",Michael Finkel,3.99
29,Cassandra in Reverse,Holly Smale,3.56
30,The First Ladies,Marie Benedict,4.04
31,"The Unwanted Marriage (The Windsors, #3)",Catharina Maura,4.06
32,Death's Obsession,Avina St. Graves,3.56
33,What Happens After Midnight,K.L. Walther,3.76
34,The In-Between: Unforgettable Encounters During Life's Final Moments,Hadley Vlahos,4.52
35,My Murder,Katie Williams,3.67
36,The Spectacular,Fiona Davis,4.1
37,A Most Agreeable Murder,Julia Seales,3.69
38,Carrie Soto Is Back,Taylor Jenkins Reid,4.22
39,"Crimson River (The Edens, #5)",Devney Perry,4.17
40,"My Fault (Culpable, #1)",Mercedes Ron,3.74
41,Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,4.43
42,"Double Pucked (My Hockey Romance, #1)",Lauren Blakely,3.66
43,"Joey (Chicago Ruthless, #2)",Sadie Kincaid,4.12
44,Psyche and Eros,Luna McNamara,3.77
45,Little Monsters,Adrienne Brodeur,3.72
46,A Fatal Affair,A.R. Torre,3.91
47,The Silent Bride,Shalini Boland,3.81
48,Call It What You Want,Alissa DeRogatis,3.4
49,You're Not Supposed to Die Tonight,Kalynn Bayron,3.61
50,Dead Eleven,Jimmy Juliano,3.73
51,The Spare Room,Andrea Bartz,3.1
52,"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel Smythe,4.5
53,"Woven by Gold (Beasts of the Briar, #2)",Elizabeth Helen,4.13
54,We Could Be So Good,Cat Sebastian,4.29
55,"Forbidden Hearts (Whitlock Family, #1)",Corinne Michaels,4.02
56,How to Stay Married: The Most Insane Love Story Ever Told,Harrison Scott Key,4.09
57,Nineteen Claws and a Black Bird,Agustina Bazterrica,3.15
58,Maeve Fly,C.J. Leede,3.81
59,On Earth as It Is on Television,Emily Jane,3.64
60,You Can Trust Me,Wendy Heard,3.75
61,My Magnolia Summer,Victoria Benton Frank,3.83
62,Translation State,Ann Leckie,4.12
63,Everything's Fine,Cecilia Rabess,3.56
64,Save What's Left,Elizabeth Castellano,3.06
65,Cross Down (Alex Cross #31),James Patterson,4.42
66,Mortal Follies,Alexis Hall,3.46
67,Beyond the Veil (Zodiac Academy #8.5),Caroline Peckham,4
68,Have You Seen Her,Catherine McKenzie,3.59
