Ranking,Title,Author,Average Rating
81,A Haunting on the Hill,Elizabeth Hand,3.37
82,All the Light We Cannot See,Anthony Doerr,4.32
83,"Lore Olympus: Volume Five (Lore Olympus, #5)",Rachel Smythe,4.48
84,Love Interest,Clare Gilmore,3.82
85,After the Forest,Kell Woods,3.82
86,"You Said I Was Your Favorite (Lancaster Prep, #5)",Monica Murphy,4.02
87,It's a Date - Again,Jeneva Rose,3.75
88,Sisters Under the Rising Sun,Heather Morris,3.91
89,Love in Winter Wonderland,Abiola Bello,3.72
90,Julia,Sandra Newman,3.79
91,"Judgment Prey (Lucas Davenport, #33; Virgil Flowers, #15)",John Sandford,4.38
92,Some People Need Killing: A Memoir of Murder in My Country,Patricia Evangelista,4.2
93,"Opinions: A Decade of Arguments, Criticism, and Minding Other People's Business",Roxane Gay,4.03
94,"The Christmas Appeal (The Appeal, #1.5)",Janice Hallett,3.64
95,"Obsession Falls (Haven Brothers, #1)",Claire Kingsley,4.17
96,"Midnight at the Christmas Bookshop (The Christmas Bookshop, #2)",Jenny Colgan,3.61
97,The Sisterhood: The Secret History of Women at the CIA,Liza Mundy,4.26
98,Prequel: An American Fight Against Fascism,Rachel Maddow,4.46
99,The Witching Year: A Memoir of Earnest Fumbling Through Modern Witchcraft,Diana Helmuth,3.77
100,Making It So: A Memoir,Patrick Stewart,4.34
101,"Puck Yes (My Hockey Romance, #2)",Lauren Blakely,3.87
102,The Village Healer’s Book of Cures,Jennifer Sherman Roberts,3.79
103,"Thorns of Frost (Fae of Snow & Ice, #2)",Krista Street,4.28
104,Emily Wilde's Encyclopaedia of Faeries (Emily Wilde #1),Heather Fawcett,4.04
105,Penelope in Retrograde,Brooke Abrams,4.1
106,"Bittersweet in the Hollow (Bittersweet in the Hollow, #1)",Kate Pearsall,4.06
107,The First to Die at the End,Adam Silvera,4.02
108,"The Dead Take the A Train (Carrion City, #1)",Cassandra Khaw,3.69
109,The Worst Kind of Promise (Riverside Reapers #2),Celeste Briars,3.3
110,Determined: A Science of Life without Free Will,Robert M. Sapolsky,4.26
111,America Fantastica,Tim O'Brien,3.47
112,Edenville,Sam Rebelein,3.22
113,Friends Don't Fall in Love,Erin Hahn,3.77
114,West Heart Kill,Dann McDorman,3.08
115,The Daughters of Block Island,Christa Carmen,3.84
116,"God of Malice (Legacy of Gods, #1)",Rina Kent,3.99
117,The Death of Us,Lori Rader-Day,3.59
118,Pretty Monster,Sheridan Anne,4.06
119,Roman Stories,Jhumpa Lahiri,3.82
120,Murder by Degrees,Ritu Mukerji,3.7
121,Grimstone (Grimstone #1),Sophie Lark,3.67
122,The Night House,Jo Nesbø,3.29
123,"Endurance of Wildflowers (Wildflower Duet, #2.5)",Micalea Smeltzer,3.81
124,I Loved You in Another Life,David Arnold,3.47
125,The Sun Sets in Singapore,Kehinde Fadipe,3.4
126,"The Aspect of Essence (The Aelfyn Archives, #1)",Samantha Amstutz,4.12
127,The Comfort of Crows: A Backyard Year,Margaret Renkl,4.38
128,The Gossip and the Grump (Three BFFs and a Wedding #2),Pippa Grant,4.25
129,Fortune,Ellen Won Steil,3.69
130,Don't Forget Me Tomorrow (Time River #2),A.L. Jackson,4.09
131,Butcher & Blackbird (The Ruinous Love Trilogy #1),Brynne Weaver,4.15
132,Black Friend: Essays,Ziwe,4.32
133,Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,4.23
134,Last to Leave the Room,Caitlin Starling,3.54
135,The Christmas Fix,Lucy Score,3.97
136,The Roaring Days of Zora Lily,Noelle Salazar,4.19
137,The Witches at the End of the World,Chelsea Iversen,3.54
138,One Puzzling Afternoon,Emily Critchley,3.87
139,The Paleontologist,Luke Dumas,3.56
140,The Premonition,Banana Yoshimoto,3.48
141,"Hercule Poirot's Silent Night (New Hercule Poirot Mysteries, #5)",Sophie Hannah,3.76
142,The Witch’s Lens (The Order of the Seven Stars #1),Luanne G. Smith,3.91
143,Twisted Obsession,S. Massery,4.12
144,Behind the Seams: My Life in Rhinestones,Dolly Parton,4.13
145,Carving for Cara,Melissa McSherry,3.42
146,People to Follow,Olivia Worley,3.59
147,The Jinn-Bot of Shantiport,Samit Basu,3.61
148,"A Man of Two Faces: a Memoir, a History, a Memorial",Viet Thanh Nguyen,4.37
149,Blood Lines (Scott Brodie & Maggie Taylor #2),Nelson DeMille,4.33
150,The Goodbye Cat,Hiro Arikawa,3.91
151,The Cruel Dark,Bea Northwick,4.28
152,Second Act,Danielle Steel,4.2
153,"Christmas in Coconut Creek (Dirty Delta, #1)",Karissa Kinword,4.15
154,Worthy,Jada Pinkett Smith,3.63
155,The Hive and the Honey: Stories,Paul Yoon,3.78
156,Guy's Girl,Emma Noyes,3.91
157,Finally Forever (The Lasker Brothers #5),Nadia Lee,4.03
158,Let Him In,William Friend,3.4
159,One Christmas Morning,Rachel Greenlaw,3.59
160,"Everything I Learned, I Learned in a Chinese Restaurant",Curtis Chin,3.83
161,Grimoire Girl: A Memoir of Magic and Mischief,Hilarie Burton Morgan,4.24
162,"Flame and Sparrow (Flame and Sparrow Duology, #1)",S.M. Gaither,4.11
163,What Wild Women Do,Karma Brown,3.77
164,Reasonable Adults,Robin Lefler,3.32
165,Promise Me (RLU #1),Carlie Jean,3.38
166,"These Burning Stars (The Kindom Trilogy, #1)",Bethany Jacobs,4.21
167,"A Dawn of Onyx (The Sacred Stones, #1)",Kate Golden,3.98
168,The Last Close Call,Laura Griffin,3.85
169,The Predictable Heartbreaks of Imogen Finch,Jacqueline Firkins,3.66
170,"The Aeronaut's Windlass (The Cinder Spires, #1)",Jim Butcher,4.18
171,"Spookily Yours (Witches of Pleasant Grove, #1)",Jennifer Chipman,3.53
172,What We Kept to Ourselves,Nancy Jooyoun Kim,3.45
173,"The Dare (Losers, #0.5)",Harley Laroux,3.54
174,Murder on the Christmas Express,Alexandra Benedict,3.16
175,On the Same Page,Haley Cass,4.46
176,Let Me Love You (The Costa Family),Brittney Sahin,4.27
177,Emperor of Rome: Ruling the Ancient Roman World,Mary Beard,4.12
178,October in the Earth,Olivia Hawker,4.22
179,"Tame the Heart (Runaway Ranch, #1)",Ava Hunter,4.09
180,Flower and Thorn,Rati Mehrotra,3.9
181,Dreadful (Tattered Curtain #3),Greer Rivers,4.11
182,"A Traitor in Whitehall (Parisian Orphan, #1)",Julia Kelly,3.93
183,The Night Hunt,Alexandra Christo,3.64
184,The Christmas Swap,Talia Samuels,3.34
185,In a Holidaze,Christina Lauren,3.7
186,'Tis the Damn Season,Kimi Freeman,3.29
187,"Murder Uncorked (Cece Barton Mystery, #1)",Maddie Day,3.68
188,The Rosewood Hunt,Mackenzie Reed,3.69
189,"A Long Time Dead (The Misty Isle, #1)",J.M. Dalgliesh,4.4
190,Alone with You in the Ether,Olivie Blake,3.83
191,Kill Show,Daniel Sweren-Becker,3.8
192,Pine River,Tijan,4.19
193,All That Consumes Us,Erica Waters,3.79
194,Mr. Fixer Upper,Lucy Score,4.16
195,"Murder and Mamon (Tita Rosie's Kitchen Mystery, #4)",Mia P. Manansala,3.71
196,Christmas at the Shelter Inn,RaeAnne Thayne,4.01
197,Emergency Contact,Lauren Layne,3.99
198,The Night I Died,Anne Frasier,3.98
199,Blood Sisters,Vanessa Lillie,3.86
200,The Prospectors,Ariel Djanikian,3.68
