Ranking,Title,Author,Average Rating
1,The Woman in Me,Britney Spears,3.89
2,"Wildfire (Maple Hills, #2)",Hannah Grace,3.89
3,"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,4.12
4,"King of Greed (Kings of Sin, #3)",Ana Huang,3.89
5,"Caught Up (Windy City, #3)",Liz Tomforde,4.46
6,Starling House,Alix E. Harrow,3.85
7,"Two Twisted Crowns (The Shepherd King, #2)",Rachel Gillig,4.47
8,"Hopeless (Chestnut Springs, #5)",Elsie Silver,4.16
9,The Unmaking of June Farrow,Adrienne Young,4.19
10,"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,4.23
11,"What the River Knows (Secrets of the Nile, #1)",Isabel Ibañez,3.94
12,"Throne of the Fallen (Princes of Sin, #1)",Kerri Maniscalco,4.11
13,"Sword Catcher (Sword Catcher, #1)",Cassandra Clare,3.81
14,Wreck the Halls,Tessa Bailey,3.43
15,The Berry Pickers,Amanda Peters,4.16
16,The Exchange: After The Firm,John Grisham,3.71
17,"A Fire in the Flesh (Flesh and Fire, #3)",Jennifer L. Armentrout,4.09
18,"The Hurricane Wars (The Hurricane Wars, #1)",Thea Guanzon,3.66
19,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.15
20,Let Us Descend,Jesmyn Ward,3.72
21,A Winter in New York,Josie Silver,3.7
22,The Reformatory,Tananarive Due,4.49
23,The Leftover Woman,Jean Kwok,3.78
24,Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,4.12
25,The Burnout,Sophie Kinsella,3.7
26,Midnight Is the Darkest Hour,Ashley Winstead,3.44
27,"Once You're Mine (Possessing Her, #1)",Morgan Bridges,3.69
28,Carnage (L.O.R.D.S. #5),Shantel Tessier,4.32
29,"Between Love and Loathing (The Hardy Billionaire Brothers, #2)",Shain Rose,3.95
30,"Iris Kelly Doesn't Date (Bright Falls, #3)",Ashley Herring Blake,4.17
31,How to Say Babylon,Safiya Sinclair,4.48
32,My Darling Girl,Jennifer McMahon,3.76
33,Down the Drain,Julia Fox,4.4
34,The Secret (Jack Reacher #28),Lee Child,4.1
35,Death Valley,Melissa Broder,3.52
36,The Sunlit Man,Brandon Sanderson,4.36
37,"Dirty Thirty (Stephanie Plum, #30)",Janet Evanovich,4.25
38,Family Meal,Bryan Washington,3.58
39,"Curious Tides (Drowned Gods, #1)",Pascale Lacelle,3.83
40,Funny Feelings,Tarah Dewitt,3.86
41,Blackouts,Justin Torres,3.79
42,Being Henry: The Fonz . . . and Beyond,Henry Winkler,4.17
43,"Madame (Salacious Players' Club, #6)",Sara Cate,4.2
44,Absolution,Alice McDermott,3.86
45,Eve: How the Female Body Drove 200 Million Years of Human Evolution,Cat Bohannon,4.36
46,The Intern,Michele Campbell,3.81
47,"These Still Black Waters (Jess Lambert, #1)",Christina McDonald,3.89
48,Going Infinite: The Rise and Fall of a New Tycoon,Michael Lewis,3.8
49,The List,Yomi Adegoke,3.1
50,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David Brooks,4.18
51,The Christmas Guest,Peter Swanson,3.63
52,If You Would Have Told Me,John Stamos,3.84
53,"Maybe Once, Maybe Twice",Alison Rose Greenberg,3.71
54,Nestlings,Nat Cassidy,3.93
55,"Better Hate than Never (The Wilmot Sisters, #2)",Chloe Liese,3.7
56,A Holly Jolly Ever After,Julie Murphy,3.52
57,Lola in the Mirror,Trent Dalton,4.45
58,Little Stranger,Leigh Rivers,3.83
59,"When I'm Dead (Black Harbor, #3)",Hannah Morrissey,3.6
60,Christmas Presents,Lisa Unger,3.64
61,"House of Bane and Blood (Order and Chaos, #1)",Alexis L. Menard,4.14
62,Out There Screaming: An Anthology of New Black Horror,Jordan Peele,3.8
63,"The Scandalous Confessions of Lydia Bennet, Witch",Melinda Taub,3.83
64,Lilith,Nikki Marmery,3.6
65,The MANIAC,Benjamín Labatut,4.35
66,Tempted by the Devil (Kings of Mafia #1),Michelle Heard,3.89
67,Room for Rent,Noelle W. Ihli,3.58
68,The House of Doors,Tan Twan Eng,4.15
69,Woke Up Like This,Amy Lea,4.04
70,"10 Things That Never Happened (Material World, #1)",Alexis Hall,3.93
71,"Watch Your Mouth (Kings of the Ice, #2)",Kandi Steiner,4.13
72,Be Useful: Seven Tools for Life,Arnold Schwarzenegger,4.15
73,"Silent Lies (Perfectly Imperfect, #8)",Neva Altaj,4.22
74,Becoming the Boogeyman,Richard Chizmar,4.15
75,"The Scarlet Alchemist (The Scarlet Alchemist, #1)",Kylie Lee Baker,4.07
76,"One Last Kill (Tracy Crosswhite, #10)",Robert Dugoni,4.49
77,"Big Nick Energy (Seasons of Revenge, #4)",Morgan Elizabeth,4.06
78,Shadows of You (Lost & Found #4),Catherine Cowles,4.37
79,Unruly: The Ridiculous History of England's Kings and Queens,David Mitchell,4.18
80,"Night of the Witch (Witch and Hunter, #1)",Sara Raasch,3.73
