Ranking,Title,Author,Average Rating
51,On the Shore (Cottonwood Cove #3),Laura Pavlov,4.22
52,"Glow of the Everflame (Kindred's Curse, #2)",Penn Cole,4.41
53,All-Night Pharmacy,Ruth Madievsky,3.53
54,"Camera Shy (Lessons in Love, #1)",Kay Cove,4
55,Prom Mom,Laura Lippman,3.37
56,Goodbye Earl,Leesa Cross-Smith,3.51
57,"A Lady's Guide to Scandal (A Lady's Guide, #2)",Sophie Irwin,3.83
58,The Cypress Maze,Fiona Valpy,4.41
59,The Nurse,Valerie Keogh,3.88
60,How Can I Help You,Laura Sims,3.44
61,The Marriage Portrait,Maggie O'Farrell,4.02
62,"Obsessed (Michael Bennett, #15)",James Patterson,4.18
63,Picking Daisies on Sundays,Liana Cincotti,3.99
64,"The Anti-Hero (The Goode Brothers, #1)",Sara Cate,4.05
65,"The Collector (Gabriel Allon, #23)",Daniel Silva,4.4
66,The Air Raid Book Club,Annie Lyons,4.06
67,"Dark Water Daughter (The Winter Sea, #1)",H.M. Long,3.87
68,"North Queen (Crowns, #1)",Nicola Tyche,3.92
69,Must Love Flowers,Debbie Macomber,4.18
70,Cutting Teeth,Chandler Baker,3.31
71,"Burned Dreams (Perfectly Imperfect, #7)",Neva Altaj,3.88
72,Blood Over Bright Haven,M.L. Wang,4.47
73,The Carnivale of Curiosities,Amiee Gibbs,3.59
74,The Best Kind of Forever (Riverside Reapers #1),Celeste Briars,3.1
75,"Bonesmith (House of the Dead, #1)",Nicki Pau Preto,4.22
76,The Legacies,Jessica Goodman,3.58
77,Strange Sally Diamond,Liz Nugent,4.21
78,The Wall of Winnipeg and Me,Mariana Zapata,4.2
79,The Better Half,Alli Frank,3.89
80,Star Bringer,Tracy Wolff,3.64
81,"Sincerely, Your Inconvenient Wife (The Harder They Fall, #2)",Julia Wolf,4.03
82,Kala,Colin Walsh,3.98
83,"Meet Me in the Penalty Box (Orchid City, #1)",Cali Melle,3.33
84,The Wrong Wife (Morally Grey Billionaires #5),L. Steele,3.59
85,A Good House for Children,Kate Collins,3.61
86,"An Evil Heart (Kate Burkholder, #15)",Linda Castillo,4.26
87,The Horoscope Writer,Ash Bishop,3.76
88,"It's Not Summer Without You (Summer, #2)",Jenny Han,3.78
89,When Crack Was King: A People's History of a Misunderstood Era,Donovan X. Ramsey,4.36
90,Unhinged,Vera Valentine,3.04
91,The Beast You Are: Stories,Paul Tremblay,3.34
92,Thicker Than Water,Megan Collins,3.44
93,Grayson's Vow,Mia Sheridan,4.07
94,To Have and to Heist,Sara Desai,3.56
95,Beyond The Story: 10-Year Record of BTS,Myeongseok Kang,4.65
96,Zero Days,Ruth Ware,3.65
97,Give Me a Sign,Anna Sortino,4.14
98,Boys in the Valley,Philip Fracassi,4.21
99,Strip Tees: A Memoir of Millennial Los Angeles,Kate Flannery,3.68
100,"When She Falls (The Fallen, #3)",Gabrielle Sands,4.08
101,Silence for the Dead,Simone St. James,3.85
102,Somebody's Fool,Richard Russo,4.28
103,"Pink Lemonade Cake Murder (Hannah Swensen, #29)",Joanne Fluke,3.37
104,"The Only Purple House in Town (Fix-It Witches, #4)",Ann Aguirre,3.45
105,"Nectar of the Wicked (Deadly Divine, #1)",Ella Fields,4.16
106,Psycho Devils (Cruel Shifterverse #5),Jasmine Mas,4.34
107,The Little Village of Book Lovers,Nina George,3.41
108,Saving Rain,Kelsey Kingsley,4.13
109,The Bones of the Story,Carol Goodman,3.69
110,The Woman Who Lied,Claire Douglas,4.02
111,The Saint of Bright Doors,Vajra Chandrasekera,3.7
112,"Ensnared (Brutes of Bristlebrook, #1)",Rebecca Quinn,4.23
113,Sunshine Nails,Mai Nguyen,3.54
114,"Brutal Prince (Brutal Birthright, #1)",Sophie Lark,3.79
115,Cognac Villain (Pushkin Bratva #1),Nicole Fox,4.25
116,"The Forbidden Wolf King (Kings of Avalier, #4)",Leia Stone,4.18
117,The Last Ranger,Peter Heller,3.82
118,"Black River (Rose Riley, #1)",Matthew Spencer,3.93
119,The Woman in the Castello,Kelsey James,3.46
120,Dead Fall (Scot Harvath #22),Brad Thor,4.39
121,The Guest Room,Tasha Sylva,3.32
122,The Heat Will Kill You First: Life and Death on a Scorched Planet,Jeff Goodell,4.32
123,"Meredith, Alone",Claire Alexander,4.05
124,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,4.49
125,"Sons of Darkness (The Raag of Rta, #1)",Gourav Mohanty,3.84
126,Brooklyn Cupid,Lexi Ray,3.69
127,"Forged by Magic (Falling for Fables, #1)",Jenna Wolfhart,3.91
128,The Militia House,John Milas,3.62
129,Flags on the Bayou,James Lee Burke,4
130,Owner of a Lonely Heart: A Memoir,Beth Nguyen,3.62
131,Three Sisters,O.J. Mullen,3.92
132,"Plays Well With Others: How to Date Your Best Friend (How to Date, #2)",Lauren Blakely,4.01
133,The Secret of Villa Alba,Louise Douglas,4.28
134,The Summer Skies,Jenny Colgan,3.89
135,"The Mistress of Bhatia House (Perveen Mistry, #4)",Sujata Massey,4.03
136,The Prince & The Apocalypse,Kara McDowell,4.07
137,"Doomsday Match (The Dresden Codex, #1)",Jeff Wheeler,4.14
138,Temple Folk,Aaliyah Bilal,3.76
139,Behold the Monster: Confronting America's Most Prolific Serial Killer,Jillian Lauren,3.41
140,Eight Bears: Mythic Past and Imperiled Future,Gloria Dickie,4.25
141,Fake Dates & Ice Skates (North University #1),Janisha Boswell,3.23
142,Cognac Vixen (Pushkin Bratva #2),Nicole Fox,4.29
143,Powerless,Lauren Roberts,4.28
144,Thief Liar Lady,D.L. Soria,3.59
145,Nothing Special,Nicole Flattery,3.09
146,"Not That Duke (Would-Be Wallflowers, #3)",Eloisa James,3.98
147,A Likeable Woman,May Cobb,3.37
148,The Splinter in the Sky,Kemi Ashing-Giwa,3.46
149,Mrs. Plansky's Revenge: A Novel,Spencer Quinn,3.73
150,The Shell House Detectives (Shell House Detectives #1),Emylia Hall,4.27
151,He Found Me,J.E. Mullett,2.95
152,A Little Luck,Claudia Piñeiro,4.29
153,"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,4.35
154,The Ocean Above Me,Kevin Sites,3.86
155,Slaying the Shadow Prince,Helen Scheuerer,3.86
156,The Country of the Blind: A Memoir at the End of Sight,Andrew Leland,4.15
157,Ordinary Human Failings,Megan Nolan,3.82
158,The Sweetest Revenge,Lizzy Dent,3.59
159,Burn the Negative,Josh Winning,3.39
160,The Perfect Escape,Daniel Hurst,3.89
161,All That’s Left to Say,Emery Lord,3.79
162,"The Eye of the Bedlam Bride (Dungeon Crawler Carl, #6)",Matt Dinniman,4.7
163,Play to Win,Jodie Slaughter,3.39
164,The Woods are Waiting,Katherine Greene,3.43
165,"The Flame King's Captive (Fire and Desire, #1)",Chloe Chastaine,3.96
166,Mine to Take (Southern Weddings #5),Natasha Madison,4.14
167,The Skull,Jon Klassen,4.26
168,Wanderlust,Elle Everhart,3.39
169,"Ebony Gate (Phoenix Hoard, #1)",Julia Vee,3.83
170,Murder at the Royal Ruby,Nita Prose,3.19
171,The Last Party,Clare Mackintosh,3.78
172,"Fire & Fate (Villains, #10)",Serena Valentino,3.86
173,"The Paris Mystery (Charlotte 'Charlie' James, #1)",Kirsty Manning,3.44
174,Never Give Your Heart to a Hookup (Never Say Never #2),Lauren Landish,4.07
175,"Too Safe (Boys of Lake Chapel, #1)",Abby Millsaps,4.21
176,None of This Is True,Lisa Jewell,4.14
177,Horses of Fire,A.D. Rhine,4.14
178,"Unlucky Like Us (Like Us, #12)",Krista Ritchie,4.05
179,Counting Lost Stars,Kim van Alkemade,4.06
180,Do Tell,Lindsay Lynch,3.24
181,The Sea Elephants,Shastri Akella,3.8
182,Heart Trick (East Coast #1),Kristen Granata,3.92
183,Sucker,Daniel Hornsby,3.09
184,"Insatiable (The Edge of Darkness, #1)",Leigh Rivers,4.25
185,Every Rising Sun,Jamila Ahmed,4
186,Circle of Death (The Shadow 2),James Patterson,3.53
187,The Freedom Clause,Hannah Sloane,3.75
188,How to Love Your Daughter,Hila Blum,3.59
189,People Like Them,Minka Kent,4.1
190,Wild Scottish Love (The Enchanted Highlands #2),Tricia O'Malley,4.46
191,The Sunset Crowd,Karin Tanabe,3.4
192,Everybody's Favorite: Tales from the World's Worst Perfectionist,Lillian Stone,3.46
193,The Lucky Shamrock,Carolyn Brown,4.4
194,Queen of Exiles,Vanessa Riley,3.79
195,"La Vie, According to Rose",Lauren Parvizi,4.01
196,King of Storms and Feathers (Courts of the Star Fae Realms #1),Juno Heart,3.6
197,"Severed by Vengeance (The Severed Signet, #1)",Elle Maldonado,3.81
198,I Did It for You,Amy Engel,3.52
199,Pebbles and the Biggest Number,Joey Benun,4.9
200,With a Kiss We Die,L.R. Dorn,3.59
