Ranking,Title,Author,Average Rating
1,Everyone Here Is Lying,Shari Lapena,3.83
2,"A Soul of Ash and Blood (Blood and Ash, #5)",Jennifer L. Armentrout,3.94
3,Hello Stranger,Katherine Center,3.96
4,"One of Us Is Back (One of Us Is Lying, #3)",Karen M. McManus,3.97
5,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,4.75
6,"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,3.53
7,Forget Me Not,Julie Soto,4.02
8,"You, with a View",Jessica Joyce,4.15
9,Out on a Limb,Hannah Bonam-Young,4.38
10,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,3.66
11,Yumi and the Nightmare Painter,Brandon Sanderson,4.49
12,The Jasad Heir (The Scorched Throne #1),Sara Hashem,3.98
13,Silver Nitrate,Silvia Moreno-Garcia,3.63
14,"A Game of Gods (Hades Saga, #3)",Scarlett St. Clair,4.06
15,Ripe,Sarah Rose Etter,3.65
16,Business or Pleasure,Rachel Lynn Solomon,3.78
17,Call the Canaries Home,Laura Barrow,4.03
18,"The Summer Girl (Avalon Bay, #3)",Elle Kennedy,3.99
19,The Block Party,Jamie Day,3.71
20,One Summer in Savannah,Terah Shelton Harris,4.15
21,My Husband,Maud Ventura,3.68
22,The Deep Sky,Yume Kitasei,3.71
23,The Starfish Sisters,Barbara O'Neal,4.32
24,Penance,Eliza Clark,3.93
25,The Summer of Songbirds,Kristy Woodson Harvey,4
26,"Crook Manifesto (Ray Carney, #2)",Colson Whitehead,3.89
27,Her Little Flowers,Shannon Morgan,3.81
28,Evil Boys,Clarissa Wild,3.97
29,Dead of Winter,Darcy Coates,3.86
30,"House of Roots and Ruin (Sisters of the Salt, #2)",Erin A. Craig,4.15
31,Knot So Lucky (Destination Love #1),Trilina Pucci,4.01
32,The Librarianist,Patrick deWitt,3.42
33,"The Sun and the Void (The Warring Gods, #1)",Gabriela Romero Lacruz,3.34
34,The Paris Agent,Kelly Rimmer,4.14
35,The Centre,Ayesha Manazir Siddiqi,3.42
36,One Last Rainy Day: The Legacy of a Prince,Kate Stewart,4.55
37,"Meet Your Match (Kings of the Ice, #1)",Kandi Steiner,3.99
38,After Death,Dean Koontz,4.11
39,"Fate of a Royal (Lords of Rathe, #1)",Meagan Brandy,3.8
40,A Twisted Love Story,Samantha Downing,3.22
41,Morbidly Yours,Ivy Fairbanks,4.02
42,Role Playing,Cathy Yardley,3.94
43,"Wolfsong (Green Creek, #1)",T.J. Klune,4.27
44,Their Vicious Games,Joelle Wellington,4.03
45,The St. Ambrose School for Girls,Jessica Ward,3.28
46,The Housekeepers,Alex Hay,3.36
47,The Weaver and the Witch Queen,Genevieve Gornichec,3.91
48,The Life She Wanted,Anita Abriel,3.94
49,Camp Damascus,Chuck Tingle,3.97
50,"Shutout (Rules of the Game, #2)",Avery Keelan,4.03
