Ranking,Title,Author,Average Rating
1,Spare,Prince Harry,3.86
2,"Powerless (The Powerless Trilogy, #1)",Lauren Roberts,4.28
3,"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,4.24
4,All the Dangerous Things,Stacy Willingham,4.08
5,"The Right Move (Windy City, #2)",Liz Tomforde,4.43
6,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,4.14
7,What Lies in the Woods,Kate Alice Marshall,3.96
8,"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,4.04
9,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,3.99
10,The House in the Pines,Ana Reyes,3.11
11,How to Sell a Haunted House,Grady Hendrix,3.7
12,Maame,Jessica George,4.07
13,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin Stevenson,3.8
14,"Really Good, Actually",Monica Heisey,3.16
15,The Villa,Rachel Hawkins,3.64
16,Just the Nicest Couple,Mary Kubica,3.56
17,The Creative Act: A Way of Being,Rick Rubin,4.07
18,"A Long Time Coming (Cane Brothers, #3)",Meghan Quinn,4.28
19,"Chain of Thorns (The Last Hours, #3)",Cassandra Clare,4.05
20,"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,3.88
21,"Georgie, All Along",Kate Clayborn,3.81
22,The Bandit Queens,Parini Shroff,3.93
23,"Beautiful World, Where Are You",Sally Rooney,3.54
24,River Sing Me Home,Eleanor Shearer,4.01
25,Age of Vice,Deepti Kapoor,3.61
26,Highly Suspicious and Unfairly Cute,Talia Hibbert,3.74
27,"Godkiller (Fallen Gods, #1)",Hannah Kaner,3.92
28,"Exes and O's (The Influencer, #2)",Amy Lea,3.74
29,"Exiles (Aaron Falk, #3)",Jane Harper,4.05
30,The Maid,Nita Prose,3.77
31,"Finlay Donovan Jumps the Gun (Finlay Donovan, #3)",Elle Cosimano,3.82
32,"8 Rules of Love: How to Find It, Keep It, and Let It Go",Jay Shetty,3.95
33,"Song of Silver, Flame Like Night (Song of the Last Kingdom, #1)",Amélie Wen Zhao,3.82
34,"Jasper Vale (The Edens, #4)",Devney Perry,4.14
35,Becoming Free Indeed: My Story of Disentangling Faith from Fear,Jinger Duggar Vuolo,3.61
36,"Breakaway (Beyond the Play, #2)",Grace Reilly,3.84
37,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4.17
38,"The Brightest Light of Sunshine (The Brightest Light, #1)",Lisina Coney,3.86
39,"Whispers of You (Lost & Found, #1)",Catherine Cowles,4.16
40,The House at the End of the World,Dean Koontz,4.04
41,"Love, Pamela",Pamela Anderson,3.8
42,Off the Deep End,Lucinda Berry,3.48
43,The Five-Star Weekend,Elin Hilderbrand,4.07
44,One Day with You (One Day with You #1),Shari Low,4.26
45,"Blood of My Monster (Monster Trilogy, #1)",Rina Kent,4.2
46,"The Davenports (The Davenports, #1)",Krystal Marquis,3.67
47,"Mysteries of Thorn Manor (Sorcery of Thorns, #1.5)",Margaret Rogerson,4.1
48,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,3.85
49,"Her Greatest Mistake (Greatest Love, #1)",Hannah Cowan,3.93
50,The Good Life: Lessons from the World's Longest Scientific Study of Happiness,Robert Waldinger,4.16
51,The Shards,Bret Easton Ellis,4
52,Episode Thirteen,Craig DiLouie,3.54
53,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,Ilyon Woo,4
54,The Mitford Affair,Marie Benedict,3.7
55,Begin Again,Emma Lord,3.73
56,Pandora,Susan Stokes-Chapman,3.67
57,"Never Marry Your Brother's Best Friend (Never Say Never, #1)",Lauren Landish,3.8
58,Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,4.38
59,"Hide (Detective Harriet Foster, #1)",Tracy Clark,4.16
60,Bad Cree,Jessica Johns,3.93
61,This Other Eden,Paul Harding,3.79
62,The Drift,C.J. Tudor,3.72
63,The House of Wolves,James Patterson,4.23
64,Do I Know You?,Emily Wibberley,3.5
65,"House of Pounding Hearts (The Kingdom of Crows, #2)",Olivia Wildenstein,4.16
66,Sam,Allegra Goodman,3.77
67,Spice Road (The Spice Road Trilogy #1),Maiya Ibrahim,3.72
68,I Keep My Exoskeletons to Myself,Marisa Crane,3.96
69,The Deluge,Stephen Markley,4.22
70,The Doctor’s Wife (The Doctor's Wife #1),Daniel Hurst,3.94
71,Heart Bones,Colleen Hoover,4.24
72,Five Winters,Kitty Johnson,3.99
73,Thorne Princess,L.J. Shen,3.89
74,The Things We Do to Our Friends,Heather Darwent,3.21
75,The Book Spy,Alan Hlad,4.18
76,"That One Night (Jacksonville Rays, #0.5)",Emily Rath,4.12
77,In the Time of Our History,Susanne Pari,4.05
78,Lunar Love,Lauren Kung Jessen,3.49
79,A Hue of Blu,Marie-France Léger,3.74
80,"A Guide to Being Just Friends (Jansen Brothers, #3)",Sophie Sullivan,3.47
81,The Sweet Spot,Amy Poeppel,3.93
82,"Lie To Her (Bree Taggert, #6)",Melinda Leigh,4.44
83,Hitched (Ride or Die Romances),Lauren Biel,3.58
84,"Poison Roses (Boys of Bellerose, #1)",Jaymin Eve,4.29
85,"Lost in the Moment and Found (Wayward Children, #8)",Seanan McGuire,4.33
86,Confessions on the 7:45,Lisa Unger,3.91
87,All Hallows,Christopher Golden,3.55
88,The New Life,Tom Crewe,3.81
89,The Social Climber,Amanda Pellegrino,3.91
90,The Perfectionist's Guide to Losing Control: A Path to Peace and Power,Katherine Morgan Schafler,4.2
91,"The Cabinet of Dr. Leng (Pendergast, #21)",Douglas Preston,4.28
92,"Back in a Spell (The Witches of Thistle Grove, #3)",Lana Harper,3.73
93,A Castle in Brooklyn,Shirley Russak Wachtel,3.79
94,Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,4.48
95,After Sappho,Selby Wynn Schwartz,3.51
96,The Reunion,Kayla Olson,3.5
97,A Flicker in the Dark,Stacy Willingham,4
98,"An Optimist's Guide to Heartbreak (Heartsong, #1)",Jennifer Hartmann,4.21
99,Locust Lane,Stephen Amidon,3.57
100,Ms. Demeanor,Elinor Lipman,3.47
101,Underneath the Sycamore Tree,B. Celeste,4.16
102,"The Daughters of Izdihar (The Alamaxa Duology, #1)",Hadeer Elsbai,3.76
103,Promise Boys,Nick Brooks,4.01
104,"Make a Wish (Spark House, #3)",Helena Hunting,3.71
105,“You Just Need to Lose Weight”: And 19 Other Myths About Fat People,Aubrey Gordon,4.33
106,Independence,Chitra Banerjee Divakaruni,4.11
107,"Sorry, Bro",Taleen Voskuni,3.67
108,"The Nazi Conspiracy: The Secret Plot to Kill Roosevelt, Stalin, and Churchill",Brad Meltzer,4.17
109,"The Blue Bar (Blue Mumbai, #1)",Damyanti Biswas,3.73
110,The Survivalists,Kashana Cauley,2.96
111,Queen of Thieves (Queen of Thieves #1),Beezy Marsh,3.48
112,"Destroy Me (Corrupted Royals, #1)",Michelle Heard,3.87
113,"Liar, Dreamer, Thief",Maria Dong,3.59
114,Violeta,Isabel Allende,4.03
115,Regrets Only,Kieran Scott,3.59
116,"The Choice (Star-Crossed Lovers Duet, #1)",Ashley Jade,4.37
117,Tress of the Emerald Sea,Brandon Sanderson,4.42
118,Drinking Games,Sarah Levy,3.78
119,We Are All So Good at Smiling,Amber McBride,3.9
120,The Fraud Squad,Kyla Zhao,3.28
121,The Rom-Com Agenda,Jayne Denker,3.32
122,"Modern Divination (Modern Divination, #1)",Isabel Agajanian,3.73
123,"Death Comes to Marlow (Marlow Murder Club, #2)",Robert Thorogood,3.92
124,Rough Sleepers,Tracy Kidder,4.35
125,Central Places,Delia Cai,3.51
126,"God Is the Cure, Love Is the Answer: A Memoir",Aimee Cabo Nikolov,4.3
127,"City of Nightmares (City of Nightmares, #1)",Rebecca Schaeffer,3.76
128,The Family Secret,Kiersten Modglin,3.94
129,The Terraformers,Annalee Newitz,3.39
130,Small World,Laura Zigman,3.48
131,Under the Whispering Door,T.J. Klune,4.16
132,You Must Remember This,Kat Rosenfield,3.49
133,The Three Lives of Alix St. Pierre,Natasha Lester,4.02
