Ranking,Title,Author,Average Rating
134,Daisy Jones & The Six,Taylor Jenkins Reid,4.21
135,"Latte Darling (Darling, #2)",S.J. Tilly,4.16
136,Without a Trace,Danielle Steel,3.88
137,"Unseelie (The Unseelie Duology, #1)",Ivelisse Housman,3.77
138,The Night Travelers,Armando Lucas Correa,3.85
139,6 Times We Almost Kissed [and One Time We Did],Tess Sharpe,4.2
140,The Sixty/Forty Rule,Ellie K. Wilde,3.87
141,"Magic Tides (Kate Daniels: Wilmington Years, #1; Kate Daniels, #10.5)",Ilona Andrews,4.52
142,"Sleet Kitten (Sleet, #1)",S.J. Tilly,3.64
143,"The RSVP (The Virgin Society, #1)",Lauren Blakely,3.86
144,Night Wherever We Go,Tracey Rose Peyton,3.86
145,No One Knows Us Here,Rebecca Kelley,3.83
146,The Kind Worth Killing,Peter Swanson,4
147,"City Under One Roof (Cara Kennedy, #1)",Iris Yamashita,3.54
148,"Faux Beau (Sierra Vista, #1)",Marina Adair,3.67
149,From Manchester to the Arctic,Sheena Billett,4.31
150,The Blackhouse,Carole Johnstone,3.45
151,"Burn Butterfly Burn (Masked Duet, #2)",Reese Rivers,4.18
152,The Love Match,Priyanka Taslim,3.83
153,Everybody Knows,Jordan Harper,3.78
154,Reef Road,Deborah Goodrich Royce,3.55
155,Ghost 19,Simone St. James,3.5
156,Pretty Ugly Promises,C.W. Farnsworth,3.65
157,The Ex I'd Love to Hate (The Lasker Brothers #3),Nadia Lee,4.12
158,The Minuscule Mansion of Myra Malone,Audrey Burges,3.81
159,Hex You,P.C. Cast,3.97
160,The Handler (Maddie Castle #1),L.T. Ryan,4.42
161,"Take Command: Find Your Inner Strength, Build Enduring Relationships, and Live the Life You Want (Dale Carnegie Books)",Joe Hart,4.26
162,Scavenger Hunt,Chad Boudreaux,4.3
163,Too Sweet (Hayes Brothers #3),I.A. Dice,3.97
164,Behind the Scenes,Karelia Stetz-Waters,3.83
165,The Nightmare Man,J.H. Markert,3.87
166,Not Your Pucking Girl (Kings of Denver #1),Sheridan Anne,3.73
167,The Game,Vi Keeland,4.18
168,Picking up the Pieces,Amanda Prowse,4.35
169,The Faraway World: Stories,Patricia Engel,3.89
170,Ghost Music,An Yu,3.52
171,The Ferryman,Justin Cronin,3.93
172,They're Watching You,Chelsea Ichaso,3.65
173,Through a Darkening Glass,R.S. Maxwell,3.9
174,The Chinese Groove,Kathryn Ma,3.98
175,"A Ruinous Fate (Heartless Fates, #1)",Kaylie Smith,3.7
176,Missing Dead Girls,Sara Walters,2.98
177,Reggie and Delilah's Year of Falling,Elise Bryant,4.02
178,The Big Dark Sky,Dean Koontz,4.03
179,"The Backup Plan (Sunrise Cove, #3)",Jill Shalvis,4.05
180,"Smoky Darling (Darling, #1)",S.J. Tilly,3.99
181,Promise Me Always (Redemption Hills #4),A.L. Jackson,4.39
182,His Secret Daughter,Melissa Wiesner,4.23
183,This Book Kills,Ravena Guron,4.01
184,The World and All That It Holds,Aleksandar Hemon,3.84
185,Daughters of Victory,Gabriella Saab,3.79
186,"The King's Shadow (Gates of Myth and Power, #2)",K.M. Shea,4.35
187,"Golden (The Golden Wolf, #1)",Shannon Mayer,4.11
188,"Irresistibly Broken (Irresistibly Yours, #1)",J. Saman,4.22
189,The Second You're Single,Cara Tanamachi,3.29
190,"Children of Memory (Children of Time, #3)",Adrian Tchaikovsky,4.03
191,"Glitterland (Spires, #1)",Alexis Hall,4.04
192,Brotherless Night,V.V. Ganeshananthan,4.45
193,"A Pessimist's Guide to Love (Heartsong, #2)",Jennifer Hartmann,4.03
194,Decent People,De'Shawn Charles Winslow,3.61
195,Wade in the Water,Nyani Nkrumah,4.02
196,As You Walk On By,Julian Winters,3.96
197,"Forged in Frost (Of Dragons and Fae, #2)",Jasmine Walt,3.99
198,"Sapphire Scars (Uvarov Bratva, #1)",Nicole Fox,4.21
199,Moonrise Over New Jessup,Jamila Minnicks,3.86
200,Code Name Blue Wren: The True Story of America's Most Dangerous Female Spy―and the Sister She Betrayed,Jim Popkin,3.77
