Ranking,Title,Author,Average Rating
108,If You Give a Grump a Holiday Wishlist (Aspen Grove #0.5),Ann Einerson,3.65
109,"Paladin's Faith (The Saint of Steel, #4)",T. Kingfisher,4.37
110,Ruin My Life (Sinners and Angels),Luna Pierce,4.09
111,"The Doctor's Mistress (The Doctor's Wife, #3)",Daniel Hurst,4.15
112,Leave It to Us,A.C. Arthur,3.89
113,Wreck My Plans,Jillian Meadows,3.94
114,"Fall (Detective Harriet Foster, #2)",Tracy Clark,4.33
115,Perfect Little Lives,Amber Brown,3.09
116,"When I Was Your Age: Life Lessons, Funny Stories & Questionable Parenting Advice from a Professional Clown",Kenan Thompson,3.86
117,"Reckless (Chestnut Springs, #4)",Elsie Silver,4.39
118,Fake-ish,Winter Renshaw,3.82
119,Before We Were Innocent,Ella Berman,3.47
120,The Vacation,John Marrs,3.85
121,The Color Purple (Movie Tie-In),Alice Walker,4.27
122,"Falling Off the Cliff (Full Throttle, #1)",Kanitha P.,3.71
123,"Entangled (Brutes of Bristlebrook, #2)",Rebecca Quinn,4.33
124,Coming to Find You,Jane Corry,3.41
125,Lest She Forget,Lisa Malice,3.83
126,Mafia Virgin (The Kings of Italy #5),Mila Finelli,3.92
127,Be Mine Forever,Kennedy Ryan,4
128,"The Final Curtain (Detective Kaga, #4)",Keigo Higashino,4.15
129,Housebroke,Jaci Burton,3.53
130,"The Hero She Needs (Unbroken Heroes, #1)",Anna Hackett,4.39
131,Death in the Dark Woods (A Monster Hunter Mystery),Annelise Ryan,3.75
132,Seven Summers,Paige Toon,4.36
134,Game On,Seressia Glass,3.59
135,Second Chances in New Port Stephen,T.J. Alexander,4.06
136,"Red Clay, Running Waters",Leslie K. Simmons,4.47
137,Texting Mr. Mafia,Flora Ferrari,3.74
138,"New Year's Day (Lancaster Prep, #5.5)",Monica Murphy,3.76
139,The Couple in the Photo,Helen Cooper,3.75
140,"Tag, You're Dead",Kathryn Foxfield,3.49
141,I'll Be Home...,Tate James,4.13
142,The Art of Laziness: Overcome Procrastination & Improve Your Productivity,Library Mindset,3.88
143,Jar of Hearts,Jennifer Hillier,4.12
144,The New Bad Thing (The New Bad Thing #1),Michael Ebner,3.99
145,It Should Have Been Us (Bluebonnet Creek #1),Anna B. Doe,3.92
146,Hidden in Shadows (The Åre Murders #2),Viveca Sten,4.16
147,"A Winter by the Sea (On Devonshire Shores, #2)",Julie Klassen,4.23
148,The End of the World Is a Cul de Sac: Stories,Louise Kennedy,3.8
149,ADHD for Smart Ass Women: How to Fall in Love with Your Neurodivergent Brain,Tracy Otsuka,4.18
150,"The Wonder of It All (House of Falconer, #3)",Barbara Taylor Bradford,3.96
151,The House of Wolves,James Patterson,4.23
152,A Pucking Wrong Christmas,C.R. Jane,4.13
153,Molly,Blake Butler,3.8
154,You Don't Want To Know,Lisa Jackson,3.82
155,"The Dragons of Deepwood Fen (The Book of the Holt, #1)",Bradley P. Beaulieu,3.7
156,"The Asheville Christmas Wedding (Carolina Christmas, #3)",Hope Holloway,4.72
157,Four Steps to the Perfect Revenge,Lilian Monroe,3.98
158,"The Engineer (The Last Horizon, #2)",Will Wight,4.46
159,"Rebecca, Not Becky: A Novel",Christine Platt,3.52
160,How Not to Age: The Scientific Approach to Getting Healthier as You Get Older,Michael Greger,4.29
161,Lose You to Find Me (Lindon U #3),B. Celeste,3.84
162,My Neighbor's Secret,Lauren Rowe,4.16
163,"Into Siberia: George Kennan's Epic Journey Through the Brutal, Frozen Heart of Russia",Gregory J. Wallance,4.02
164,"The Palace: From the Tudors to the Windsors, 500 Years of British History at Hampton Court",Gareth Russell,4.25
165,The Daymakers,Grace McGinty,4.23
166,"Hard Exit (Jon Reznick, #11)",J.B. Turner,4.44
167,The Buried Hours,R.S. Grant,4.28
168,Radio Silence,Alice Oseman,4.19
169,"Wrath of the Damned (Deadly Divine, #2)",Ella Fields,4.06
170,The Last Dragon King (The Kings of Avalier #1),Leia Stone,3.73
171,Secret Vendetta (Vendetta Duet),Kathy Lockheart,4.17
172,"All the Hidden Paths (The Tithenai Chronicles, #2)",Foz Meadows,4.21
173,"Rules We Break (Rule Breaker, #3.5)",Jessa Wilder,4.04
174,Tarnished Embers (Dark Retellings),Rosa Lee,3.73
175,Nine Liars,Maureen Johnson,3.82
176,Becoming Ella Fitzgerald: The Jazz Singer Who Transformed American Song,Judith Tick,3.8
177,Prophet Song,Paul Lynch,4.14
178,"Smoking Gun (The Bunkhouse, #1)",Lainey Lawson,3.73
179,Rock Bottom (Sisterhood),Fern Michaels,4.45
