Ranking,Title,Author,Average Rating
145,The Scourge Between Stars,Ness Brown,3.6
146,Blood Is Black,Scott Pratt,4.38
147,Built to Move: The Ten Essential Habits to Help You Move Freely and Live Fully,Kelly Starrett,4.25
148,The Last Animal,Ramona Ausubel,3.52
149,Strawberry Lane,Jodi Thomas,4.16
150,Zora Books Her Happy Ever After,Taj McCoy,3.45
151,The Coldest Winter,Brittainy C. Cherry,4.06
152,"Garron Park (From Nothing, #1)",Nordika Night,4.08
153,The Remarkable Retirement of Edna Fisher,E.M. Anderson,3.75
154,The Skin and Its Girl,Sarah Cypher,3.77
155,The Stable Boy of Auschwitz,Henry Oster,4.53
156,Soul Boom: Why We Need a Spiritual Revolution,Rainn Wilson,3.83
157,"Foolish Puckboy (Puckboys, #4)",Eden Finley,4
158,Juno Loves Legs,Karl Geary,4.19
159,Carmen and Grace,Melissa Coss Aquino,3.9
160,Descended,Ingrid J. Adams,4.48
161,"Unforgettable (Landmark Mountain, #1)",Willow Aster,3.98
162,Fat Talk: Parenting in the Age of Diet Culture,Virginia Sole-Smith,4.35
163,"Night Angel Nemesis (The Kylar Chronicles, #1)",Brent Weeks,4.08
164,When You Wish Upon a Star,Elizabeth Lim,4.05
165,"Heartless (Chestnut Springs, #2)",Elsie Silver,4.39
166,"The Captain (The Last Horizon, #1)",Will Wight,4.29
167,If I See You Again Tomorrow,Robbie Couch,4.14
168,"Beautiful Thorns (Boys of Bellerose, #4)",Jaymin Eve,4.15
169,Someone Is Always Watching,Kelley Armstrong,3.6
170,Old Flame,Molly Prentiss,3.88
171,Bear With Me Now,Katie Shepard,3.03
172,"Honey, Baby, Mine: A Mother and Daughter Talk Life, Death, Love (and Banana Pudding)",Laura Dern,3.92
173,Enter Ghost,Isabella Hammad,4.07
174,"Fifth Avenue Fling (Billionaires in Charge, #1)",Rosa Lucas,4.05
175,Never Forget You,Fiona Lucas,4
176,Shutter,Ramona Emerson,3.8
177,Meant to Be,Emily Giffin,3.92
178,Damsel,Evelyn Skye,3.79
179,The Bachelor (The Dalton Family #5),Marni Mann,4.14
180,Fae Heir (Royals of Embermere #1),Lucia Ashta,4.04
181,Moorewood Family Rules,HelenKay Dimon,3.28
182,"Break the Girl (Savage Kings of Bradwyn U, #1)",Rachel Jonas,4.18
183,"Dedication to Murder (Beyond the Page Bookstore Mystery, #9)",Lauren Elliott,4.32
184,Atalanta,Jennifer Saint,3.79
185,"Dirty Truths (Boston Billionaires, #4)",Brittanee Nicole,4.1
186,"Big Trouble on Sullivan's Island (Carolina Tales, #1)",Susan M. Boyer,4.4
187,The Half of It: A Memoir,Madison Beer,4.03
188,The Years,Annie Ernaux,4.18
189,"The Blood We Crave: Part Two (The Hollow Boys, #4)",Monty Jay,4.2
190,"Pretty Dark Vows (Ruthless Hearts, #1)",Callie Rose,4.17
191,"The Party (Better than the Movies, #1.2)",Lynn Painter,4.54
192,Let's Do This,Loren Leigh,4.13
193,The Thick and the Lean,Chana Porter,3.66
194,Life and Other Love Songs,Anissa Gray,3.77
195,Not Here to Stay Friends,Kaitlyn Hill,3.72
196,"Undulate (Alchemy, #2)",Elodie Hart,4.12
197,He Who Fights with Monsters 9 (He Who Fights with Monsters #9),Shirtaloon,4.57
198,Queen Bee,Amalie Howard,3.88
199,"Laces (Boys of Hawthorne Asylum, #1)",Tempi Lark,3.75
200,The Last Housewife,Ashley Winstead,3.7
