Ranking,Title,Author,Average Rating
1,Happy Place,Emily Henry,4.01
2,"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,4.22
3,"Yours Truly (Part of Your World, #2)",Abby Jimenez,4.33
4,Romantic Comedy,Curtis Sittenfeld,3.66
5,"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,4.16
6,"King of Pride (Kings of Sin, #2)",Ana Huang,3.96
7,Tress of the Emerald Sea,Brandon Sanderson,4.42
8,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,4.2
9,You Shouldn't Have Come Here,Jeneva Rose,3.32
10,The Soulmate,Sally Hepworth,3.81
11,Homecoming,Kate Morton,4.08
12,In the Lives of Puppets,T.J. Klune,3.94
13,The Nanny,Lana Ferguson,3.57
14,The Only Survivors,Megan Miranda,3.55
15,The Last Word,Taylor Adams,3.73
16,The Sacrifice (L.O.R.D.S. #3),Shantel Tessier,4.31
17,Before We Were Innocent,Ella Berman,3.47
18,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan,4.39
19,Adelaide,Genevieve Wheeler,3.97
20,Until I Get You,Claire Contreras,4.04
21,You Could Make This Place Beautiful,Maggie Smith,4.1
22,Small Mercies,Dennis Lehane,4.3
23,A Girl Called Samson,Amy Harmon,4.51
24,The House Is on Fire,Rachel Beanland,4.11
25,Only Love Can Hurt Like This,Paige Toon,4
26,Slaying the Vampire Conqueror,Carissa Broadbent,4.1
27,"Bewitched (Bewitched, #1)",Laura Thalassa,3.95
28,"Simply Lies (Mickey Gibson, #1)",David Baldacci,3.99
29,"Coach (Treasure State Wildcats, #1)",Devney Perry,4
30,Only the Beautiful,Susan Meissner,4.47
31,The Trackers,Charles Frazier,3.72
32,Natural Beauty,Ling Ling Huang,3.81
33,The Frugal Wizard’s Handbook for Surviving Medieval England,Brandon Sanderson,3.77
34,They Never Learn,Layne Fargo,3.94
35,Camp Zero,Michelle Min Sterling,3.21
36,"Pucking Ever After: Volume 1 (Jacksonville Rays, #1.5)",Emily Rath,4.19
37,"Pucking Around (Jacksonville Rays, #1)",Emily Rath,3.87
38,Sisters of the Lost Nation,Nick Medina,3.89
39,"The Summer We Fell (The Summer, #1)",Elizabeth O'Roark,4.07
40,"The Plus One (A Brush with Love, #3)",Mazey Eddings,3.7
41,Saturday Night at the Lakeside Supper Club,J. Ryan Stradal,3.64
42,Weak Side (Bexley U),S.J. Sylvis,3.98
43,An American Beauty,Shana Abe,4.17
44,Vacation Wars,Meghan Quinn,3.79
45,I'll Stop the World,Lauren Thoman,3.99
46,The Worst Wedding Date (Three BFFs and a Wedding #1),Pippa Grant,4.1
47,Things I Wish I Told My Mother,Susan Patterson,3.95
48,The Golden Doves,Martha Hall Kelly,4.19
49,The Forgetting,Hannah Beckerman,4.08
50,Pathogenesis: A History of the World in Eight Plagues,Jonathan Kennedy,3.94
51,Ascension,Nicholas Binge,3.59
52,Symphony of Secrets,Brendan Slocumb,4.28
53,"Silver in the Bone (Silver in the Bone, #1)",Alexandra Bracken,3.91
54,The Last Heir to Blackwood Library,Hester Fox,3.36
55,"The Secret Service of Tea and Treason (Dangerous Damsels, #3)",India Holton,4.02
56,The Cuban Heiress,Chanel Cleeton,3.89
57,Dirty Laundry,Disha Bose,3.28
58,"Stealing Home (Beyond the Play, #3)",Grace Reilly,3.69
59,Some Desperate Glory,Emily Tesh,4.06
60,The Fiancée Farce,Alexandria Bellefleur,4
61,Travis,Mia Sheridan,3.88
62,Contractual Obligations,Elle Rivers,3.54
63,"Desire or Defense (D.C. Eagles Hockey, #1)",Leah Brunner,3.74
64,Forget Me Not,Alyson Derrick,4.26
65,"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",Jonathan Rosen,4.1
66,Monsters: A Fan's Dilemma,Claire Dederer,3.81
67,"Heart of My Monster (Monster Trilogy, #3)",Rina Kent,4.23
68,Nocticadia,Keri Lake,4.3
69,How to Kill Men and Get Away with It,Katy Brent,3.69
70,"If Only You (The Bergman Brothers, #6)",Chloe Liese,4.05
71,House of Cotton,Monica Brashears,3.06
72,The Haunting of Alejandra,V. Castro,3.66
73,Offside Hearts (Love and Hockey #1),Nikki Lawson,3.88
74,I Could Live Here Forever,Hanna Halperin,3.78
75,"Queen of Roses (Blood of a Fae, #1)",Briar Boleyn,3.87
76,This Delicious Death,Kayla Cottingham,3.59
77,"For You and Only You (You, #4)",Caroline Kepnes,3.32
78,Untethered Sky,Fonda Lee,3.9
79,"Blood Debts (Blood Debts, #1)",Terry J. Benton-Walker,3.81
80,Greek Lessons,Han Kang,3.49
81,The Invisible Life of Addie LaRue,V.E. Schwab,4.19
82,The Hike,Lucy Clarke,3.73
83,Tell Me What Really Happened,Chelsea Sedoti,3.43
84,Death of a Bookseller,Alice Slater,3.51
85,"Where Are the Children Now? (Where Are the Children, #2)",Mary Higgins Clark,4.16
86,A Living Remedy: A Memoir,Nicole Chung,4.03
87,"Lassiter (Black Dagger Brotherhood, #21)",J.R. Ward,4.24
88,All He Has Left,Chad Zunker,4.05
89,It. Goes. So. Fast.: The Year of No Do-Overs,Mary Louise Kelly,3.87
90,"Heir of Uncertain Magic (Whimbrel House, #2)",Charlie N. Holmberg,4.18
91,"Mastering the Art of French Murder (An American In Paris, #1)",Colleen Cambridge,3.63
92,Spell Bound,F.T. Lukens,4.16
93,If We're Being Honest,Cat Shook,3.49
94,"Dark Angel (Letty Davenport, #2)",John Sandford,4.23
95,The Interview,Donna Alam,3.59
96,Fifth Avenue Glamour Girl,Renée Rosen,4.04
97,One for My Enemy,Olivie Blake,3.79
98,This Bird Has Flown,Susanna Hoffs,3.18
99,Life in Five Senses: How Exploring the Senses Got Me Out of My Head and Into the World,Gretchen Rubin,3.72
100,Going Zero,Anthony McCarten,3.89
101,"Ana María and the Fox (The Luna Sisters, #1)",Liana De la Rosa,3.45
102,Everything She Feared,Rick Mofina,3.75
103,With My Little Eye,Joshilyn Jackson,3.32
104,Cursed Bread,Sophie Mackintosh,3.28
105,"The Last Remains (Ruth Galloway, #15)",Elly Griffiths,4.42
106,Enemies with Benefits (Loveless Brothers #1),Roxie Noir,3.87
107,The Do-Over,Suzanne Park,3.28
108,"The Bone Shard War (The Drowning Empire, #3)",Andrea Stewart,3.94
109,Accidental Attachment (It's A Funny Story #1),Max Monroe,4.05
110,"Rule of the Aurora King (Artefacts of Ouranos, #2)",Nisha J. Tuli,4.01
111,"The Ruthless Fae King (Kings of Avalier, #3)",Leia Stone,4.17
112,"Corrupted Union (The Byrne Brothers, #2)",Jill Ramsower,4.11
113,"Paper Cuts (Secret, Book, & Scone Society, #6)",Ellery Adams,4.26
114,SIN-BIN (Sinners on the Ice #1),Anastasija White,3.65
115,Coronation Year,Jennifer Robson,3.94
116,Halfway to You,Jennifer Gold,4.31
117,City of Dreams (Danny Ryan #2),Don Winslow,4.05
118,"What the Hex (Hex, #2)",Jessica Clare,3.74
119,Advika and the Hollywood Wives,Kirthana Ramisetti,3.15
120,Sizzle Reel,Carlyn Greenwald,3.14
121,"The Rules of Dating My Best Friend's Sister (The Law of Opposites Attract, #2)",Vi Keeland,4.04
122,The Eden Test,Adam Sternbergh,3.4
123,"There Will Be Fire: Margaret Thatcher, the IRA, and Two Minutes That Changed History",Rory Carroll,4.37
124,Pomegranate,Helen Elaine Lee,4.06
125,The Pivot Year,Brianna Wiest,4.24
126,"To Swoon and to Spar (The Regency Vows, #4)",Martha Waters,3.64
127,"The Edens - A Legacy Short Story (The Edens, #4.5)",Devney Perry,4.07
128,"A Cruel Arrangement (Kings of New York, #2)",Tijan,4.06
129,Just as You Are,Camille Kellogg,3.77
130,Blind Spots,Thomas Mullen,3.59
131,The Earth Transformed: An Untold History,Peter Frankopan,3.92
132,"Generations: The Real Differences Between Gen Z, Millennials, Gen X, Boomers, and Silents―and What They Mean for America's Future",Jean M. Twenge,4.06
133,The Society of Shame,Jane Roper,3.33
134,Small Joys,Elvin James Mensah,3.98
135,The Seaside Library,Brenda Novak,3.75
136,The Rediscovery of America: Native Peoples and the Unmaking of U.S. History,Ned Blackhawk,4.22
137,Never Vacation with Your Ex,Emily Wibberley,3.22
138,Kantika,Elizabeth Graver,4.09
139,Games and Rituals,Katherine Heiny,3.83
140,Choosing to Run: A Memoir,Des Linden,4.29
141,Five First Chances,Sarah Jost,3.61
142,The Audrey Hepburn Estate,Brenda Janowitz,3.61
143,Take My Hand,Dolen Perkins-Valdez,4.37
144,We Love to Entertain,Sarah Strohmeyer,3.09
